Timestamp,Title,Category,Location,Sidekicks,Era,Memory_Type,Memory_Description,Attachment,combined_text,word_count,tts_time_seconds,is_long_story
3/27/2023 17:30:20,first marathon,Personal,lincoln,,Midlife,accomplishment,"ran my first marathon. the last mile was brutal, but crossing the finish line was pure euphoria.",,"first marathon ran my first marathon. the last mile was brutal, but crossing the finish line was pure euphoria. Location: lincoln Sidekicks: nan Memory Type: accomplishment",17,6.8,False
4/27/2023 17:30:20,the time i met my idol,Personal,concert venue,,Childhood,happy,i met my idol at a concert. it was a dream come true. i was so excited to meet them and get their autograph.,,the time i met my idol i met my idol at a concert. it was a dream come true. i was so excited to meet them and get their autograph. Location: concert venue Sidekicks: nan Memory Type: happy,24,9.6,False
1/10/2024 18:07:44,starting my own business,Professional,san francisco,,Midlife,excited,"quitting my job to start my own business was terrifying. i had saved up for years, drafted countless plans, and yet, nothing prepared me for the sheer adrenaline of launching my first product. the first sale came at 2 am—i refreshed the page three times to make sure it was real. that was the moment i knew i was onto something.",,"starting my own business quitting my job to start my own business was terrifying. i had saved up for years, drafted countless plans, and yet, nothing prepared me for the sheer adrenaline of launching my first product. the first sale came at 2 am—i refreshed the page three times to make sure it was real. that was the moment i knew i was onto something. Location: san francisco Sidekicks: nan Memory Type: excited",61,24.4,False
1/11/2024 6:23:33,first job interview,Professional,corporate office,mr. smith,Twenties,nervous,"i was so nervous i almost spilled my coffee on the interviewer! despite my nerves, i managed to answer his questions and landed the job. it was the start of my career.",,"first job interview i was so nervous i almost spilled my coffee on the interviewer! despite my nerves, i managed to answer his questions and landed the job. it was the start of my career. Location: corporate office Sidekicks: mr. smith Memory Type: nervous",32,12.8,False
1/12/2024 14:57:14,family christmas,Personal,home,,Midlife,excited,"christmas at our house is always chaotic but filled with love. the kids open presents, we eat a huge meal, and then play games late into the night. it's my favorite time of year.",,"family christmas christmas at our house is always chaotic but filled with love. the kids open presents, we eat a huge meal, and then play games late into the night. it's my favorite time of year. Location: home Sidekicks: nan Memory Type: excited",34,13.6,False
1/12/2024 16:31:54,learning to play guitar,Personal,living room,kent,Encore,angst,"i always wanted to learn an instrument, and retirement seemed like the perfect opportunity. it's challenging but rewarding. i'm not very good yet, but i enjoy practicing and learning new songs.",,"learning to play guitar i always wanted to learn an instrument, and retirement seemed like the perfect opportunity. it's challenging but rewarding. i'm not very good yet, but i enjoy practicing and learning new songs. Location: living room Sidekicks: kent Memory Type: angst",31,12.4,False
1/12/2024 21:33:21,the blizzard of '92,Personal,new york,family,Midlife,adventurous,"the snowstorm hit suddenly, turning the city into a frozen wonderland. with the power out, we bundled up in blankets and told stories by candlelight. the next morning, we ventured outside to find the streets covered in waist-high snowdrifts. i’ll never forget the sight of kids sledding down park avenue—it was like the city had turned into one giant playground.",,"the blizzard of '92 the snowstorm hit suddenly, turning the city into a frozen wonderland. with the power out, we bundled up in blankets and told stories by candlelight. the next morning, we ventured outside to find the streets covered in waist-high snowdrifts. i’ll never forget the sight of kids sledding down park avenue—it was like the city had turned into one giant playground. Location: new york Sidekicks: family Memory Type: adventurous",60,24.0,False
1/13/2024 5:41:40,visiting the grand canyon,Personal,grand canyon national park,manscouts,Senior,exhilarating,"the sheer scale of the canyon is breathtaking. i felt so small and insignificant standing at the edge, looking out at the vast landscape. it's a memory i'll cherish forever.",,"visiting the grand canyon the sheer scale of the canyon is breathtaking. i felt so small and insignificant standing at the edge, looking out at the vast landscape. it's a memory i'll cherish forever. Location: grand canyon national park Sidekicks: manscouts Memory Type: exhilarating",30,12.0,False
1/13/2024 6:05:27,building a treehouse,Personal,backyard,dad,Childhood,proud,"we spent weeks constructing the treehouse. it wasn't perfect, but it was ours. we spent countless hours playing in it, pretending it was a pirate ship or a secret hideout.",,"building a treehouse we spent weeks constructing the treehouse. it wasn't perfect, but it was ours. we spent countless hours playing in it, pretending it was a pirate ship or a secret hideout. Location: backyard Sidekicks: dad Memory Type: proud",30,12.0,False
1/14/2024 7:17:24,college graduation,Personal,university stadium,my family,Twenties,happy,walking across the stage to receive my diploma was a moment of pure triumph. all those years of studying and hard work had finally paid off.,,college graduation walking across the stage to receive my diploma was a moment of pure triumph. all those years of studying and hard work had finally paid off. Location: university stadium Sidekicks: my family Memory Type: happy,26,10.4,False
