Timestamp,Title,Category,Location,Sidekicks,Era,Memory_Type,Memory_Description,Attachment
3/27/2023 17:30:20,First Marathon,Personal,Lincoln ,,Midlife,Accomplishment,"Ran my first marathon. The last mile was brutal, but crossing the finish line was pure euphoria.",
4/27/2023 17:30:20,The Time I Met My Idol,Personal,Concert Venue,,Childhood,Happy,I met my idol at a concert.  It was a dream come true.  I was so excited to meet them and get their autograph.,
1/10/2024 18:07:44,Starting My Own Business,Professional,San Francisco,None,Midlife,Excited,"Quitting my job to start my own business was terrifying. I had saved up for years, drafted countless plans, and yet, nothing prepared me for the sheer adrenaline of launching my first product. The first sale came at 2 AM—I refreshed the page three times to make sure it was real. That was the moment I knew I was onto something.",
1/11/2024 6:23:33,First Job Interview,Professional,Corporate Office,Mr. Smith,Twenties,Nervous,"I was so nervous I almost spilled my coffee on the interviewer!  Despite my nerves, I managed to answer his questions and landed the job. It was the start of my career.",
1/12/2024 14:57:14,Family Christmas,Personal,Home,,Midlife,Excited,"Christmas at our house is always chaotic but filled with love.  The kids open presents, we eat a huge meal, and then play games late into the night. It's my favorite time of year.",
1/12/2024 16:31:54,Learning to Play Guitar,Personal,Living Room,Kent,Encore,Angst,"I always wanted to learn an instrument, and retirement seemed like the perfect opportunity.  It's challenging but rewarding.  I'm not very good yet, but I enjoy practicing and learning new songs.",
1/12/2024 21:33:21,The Blizzard of '92,Personal,New York,Family,Midlife,Adventurous,"The snowstorm hit suddenly, turning the city into a frozen wonderland. With the power out, we bundled up in blankets and told stories by candlelight. The next morning, we ventured outside to find the streets covered in waist-high snowdrifts. I’ll never forget the sight of kids sledding down Park Avenue—it was like the city had turned into one giant playground.",
1/13/2024 5:41:40,Visiting the Grand Canyon,Personal,Grand Canyon National Park,Manscouts,Senior,Exhilarating,"The sheer scale of the canyon is breathtaking.  I felt so small and insignificant standing at the edge, looking out at the vast landscape. It's a memory I'll cherish forever.",
1/13/2024 6:05:27,Building a Treehouse,Personal,Backyard,Dad,Childhood,Proud,"We spent weeks constructing the treehouse.  It wasn't perfect, but it was ours.  We spent countless hours playing in it, pretending it was a pirate ship or a secret hideout.",
1/14/2024 7:17:24,College Graduation,Personal,University Stadium,My family,Twenties,Happy,Walking across the stage to receive my diploma was a moment of pure triumph.  All those years of studying and hard work had finally paid off.,
1/15/2024 11:12:09,First Job Interview,Professional,Seattle,None,Twenties,Nervous,"My palms were sweaty as I walked into the office for my first real job interview. I had practiced answering common questions, but nothing could stop the butterflies in my stomach. The interviewer smiled and asked, ‘Tell me about yourself.’ My mind went blank for a second before I blurted out, ‘I really like spreadsheets.’ Somehow, I still got the job.",
1/15/2024 6:32:58,Attending a Concert,Personal,Concert Hall,,Senior,Happy,I love listening to live music.  It's such a powerful experience.,
1/18/2024 16:20:45,Camping in the Rockies,Personal,Colorado,Best Friend,Twenties,Adventurous,"We had packed light—too light, as it turned out. The temperature dropped below freezing, and we huddled in our sleeping bags, regretting every ounce of gear we had left behind. But waking up to the sun rising over the Rockies, painting the sky in shades of pink and gold, made it all worth it.",
1/18/2024 7:20:00,My Wedding Day,Personal,Local Church,Wife & Family,Midlife,Happy,"It was the most magical day of my life.  Everything was perfect, from the flowers to the music to the vows.  I felt like a princess.",
1/19/2024 5:50:12,Volunteering at the Animal Shelter,Professional,Local Animal Shelter,,Encore,Rewarding,"It's so rewarding to help animals in need.  I love spending time with the dogs and cats, giving them attention and love.",
1/19/2024 8:01:29,First Promotion at Work,Professional,Office Building,Boss,Twenties,Proud,I worked hard and it felt great to be recognized for my efforts.  It motivated me to keep striving for success.,
1/20/2024 13:58:32,My First Apartment,Personal,Los Angeles,None,Twenties,Excited,"It was tiny, the walls were thin, and the neighbors were noisy—but it was mine. I had mismatched furniture from thrift stores and a mattress on the floor. Cooking my first meal (burnt pasta) felt like a victory. Independence had never tasted so… smoky.",
1/23/2024 06:30:17,First Bike,Personal,Hometown,,Childhood,Joyful,"Christmas morning as a child. Rushing downstairs, heart pounding, and seeing the big red bike under the tree.",
1/23/2024 09:20:24,First Presentation,Professional,Lincoln,,Midlife,Achievement,"First big presentation at work. I was nervous, but I nailed it. My boss gave me a nod of approval afterward.",
1/23/2024 15:00:22,Our Dog Max,Personal,Lincoln,,Midlife,Heartwarming,"The day I adopted my dog, Max. He was so small, scared, and adorable. He wouldn’t stop licking my face.",
